Customer_ID,Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Plan_Tier,Support_Tickets_90Days,API_Utilization_Rate,Churn,Support_Ticket_Friction
10b54cc2-95f1-4520-8d06-12c58dc14449,1018,Daily,65,Enterprise,1,0.62,0,0.015151515151515152
2168308b-9154-402f-b502-bc2910e31d5f,1026,Daily,27,Enterprise,7,0.55,0,0.25
1fde5ab1-0bca-420d-9682-8450f11ca7ee,806,Weekly,56,Pro,2,0.53,0,0.03508771929824561
48ec32bc-1afa-485c-aa67-2d5da7703402,183,Weekly,30,Pro,3,0.42,0,0.0967741935483871
2e72b727-907a-4126-b618-c0429be15b94,56,Daily,53,Basic,2,0.24,1,0.037037037037037035
ebbce64b-fad4-48a8-b9d7-d5a7576c3b1e,878,Rarely,9,Pro,10,0.45,0,1.0
bea4470a-cb31-4fee-b097-6e6f2435db1e,174,Weekly,1,Enterprise,0,0.21,1,0.0
3016e575-3246-47f0-904e-f518ed9ec00e,111,Weekly,4,Pro,1,0.41,1,0.2
bb9c4b15-de47-4265-9850-07ba8a822c22,914,Daily,25,Pro,7,0.99,0,0.2692307692307692
6332f1ae-18c6-4031-aad5-ef8d6212281e,536,Rarely,1,Basic,7,0.87,0,3.5
3b71ba3c-9e17-4b0a-a4a8-aa2a1b067b75,377,Daily,41,Pro,3,0.49,0,0.07142857142857142
ce352f2d-8cca-4d9f-88ca-1597f58befe8,943,Weekly,57,Pro,13,0.38,1,0.22413793103448276
b890f744-3f03-4442-938a-0744a855f502,118,Weekly,9,Enterprise,16,0.37,1,1.6
8a102ae5-e3ba-4653-aa40-1d89b94e0c9a,921,Daily,111,Basic,2,0.5,0,0.017857142857142856
fa12a28a-2ac8-4767-a86d-9851a7e85a32,740,Rarely,9,Basic,9,0.43,1,0.9
d3946b67-c734-4f84-9eae-ceb37324fcdd,1034,Daily,65,Basic,1,0.74,0,0.015151515151515152
8716412d-d256-4f2b-a1ec-1102424b154d,774,Daily,57,Basic,2,0.7,0,0.034482758620689655
cc799781-4471-440e-b702-af522cd14623,509,Daily,80,Pro,1,0.23,0,0.012345679012345678
029324c2-715b-4452-9c2f-e849a9905e32,906,Weekly,8,Enterprise,0,0.66,1,0.0
944fece2-bad7-4ffd-a218-5e1f9e4f2315,851,Daily,98,Basic,0,0.24,0,0.0
154e6baf-83d7-401f-bdf3-83b902fb7d7e,107,Daily,55,Basic,0,0.83,0,0.0
9094fd46-3b61-4966-8d7b-e04a28d5944d,835,Weekly,6,Enterprise,14,0.24,1,2.0
59ebba0c-0e88-4940-b029-08d8f0f69537,128,Daily,32,Basic,1,0.56,0,0.030303030303030304
2b473399-35f2-4cef-8801-7c5cbae94abb,621,Daily,96,Basic,3,0.08,0,0.030927835051546393
679131d0-986a-4125-a8e1-26760739a821,963,Weekly,3,Pro,3,0.41,1,0.75
3232ffb1-961a-458e-a9bf-38aa909e594f,1026,Daily,64,Pro,3,0.25,0,0.046153846153846156
09f123bd-4fc2-4b8e-833e-c51844d09151,378,Daily,40,Basic,0,0.26,1,0.0
1cbaed1e-9f83-461a-8b31-de61f05d368c,383,Weekly,52,Pro,3,0.32,1,0.05660377358490566
2af03e03-c2b2-4e38-b3c6-df0de00a4ea7,439,Rarely,12,Basic,4,0.01,1,0.3076923076923077
7911a90f-f99d-48d9-a79d-32f0801456d8,251,Daily,117,Enterprise,3,0.53,0,0.025423728813559324
44201b48-56e1-4948-9605-73989952a7b3,628,Daily,36,Pro,8,0.59,0,0.21621621621621623
e602f1c1-8e52-4237-88a0-dfa0c3c4cfa2,532,Weekly,13,Pro,1,0.18,1,0.07142857142857142
6ac801e7-8d36-4fa3-ac0a-57cf7d86b6d3,85,Daily,97,Pro,1,0.44,0,0.01020408163265306
7be6e96b-96db-43a9-8757-479b40670980,858,Rarely,12,Pro,16,0.37,1,1.2307692307692308
1f7378c3-7ac3-461d-97ad-5ed2426ab696,1012,Daily,85,Pro,1,0.75,0,0.011627906976744186
1a965480-dbea-42af-953b-cde85fe1ca37,791,Weekly,43,Enterprise,4,0.54,0,0.09090909090909091
a69cca40-4729-4b65-b274-017bebc3c001,514,Daily,109,Basic,0,0.71,0,0.0
dd3e5880-7398-4de2-8911-1bca58de5f1d,234,Weekly,54,Basic,1,0.55,0,0.01818181818181818
1e480f8e-63ac-46b2-8a02-e020d593d2c3,520,Daily,91,Enterprise,4,0.37,0,0.043478260869565216
5b02287b-7195-40e6-8546-38287c413154,469,Rarely,9,Basic,9,0.6,1,0.9
4e44b866-6b34-4d7a-9239-ffa106745a0b,381,Weekly,46,Basic,3,0.53,0,0.06382978723404255
934297ea-2b6b-495c-ad5f-6aa17a213fe0,749,Rarely,7,Pro,0,0.34,1,0.0
e9be1436-f008-4caa-b57a-cc4c1f76a120,25,Weekly,36,Basic,0,0.82,0,0.0
9be076dd-5693-4444-a564-a2a936568cb6,632,Rarely,3,Basic,0,0.54,1,0.0
03e80a4d-bd04-4cdd-94e2-3a40d12ea924,814,Weekly,8,Enterprise,4,0.62,0,0.4444444444444444
b8cded9c-f238-49c3-80b0-620bc658e779,868,Daily,69,Basic,2,0.53,0,0.02857142857142857
7e307aae-8046-4514-a182-50ca4ea696c5,552,Daily,87,Enterprise,2,0.35,0,0.022727272727272728
c75a2195-b3e5-42dd-9bb5-9ce59242c58c,620,Daily,51,Pro,3,0.77,0,0.057692307692307696
0dc0aad1-1acf-4c90-b59c-d108e80d151c,39,Daily,91,Enterprise,0,0.68,0,0.0
65bd1688-5267-473b-8633-195bf00751e8,356,Weekly,33,Pro,0,0.59,0,0.0
ed206a4d-c86e-4974-b6e8-d21a16429338,525,Daily,15,Basic,3,0.4,0,0.1875
3e1ed4f1-d2b4-4cf2-9682-22e12cda4133,393,Rarely,9,Pro,0,0.29,0,0.0
7a44999a-0aee-4ab0-bf82-96a60273b76c,340,Weekly,28,Enterprise,7,0.54,0,0.2413793103448276
f545b3fe-9ed9-445d-bf00-e9bff7f1463b,116,Rarely,13,Pro,2,0.15,1,0.14285714285714285
6d3f1580-6ad2-412a-97c8-3923e31bda57,397,Daily,73,Basic,1,0.52,0,0.013513513513513514
e54405e8-2273-4aa3-a3a0-76ae8b87acd3,117,Weekly,22,Basic,7,0.13,1,0.30434782608695654
ef495ecf-9b39-428a-bd45-2579fd6fb9b4,639,Daily,76,Pro,1,0.77,0,0.012987012987012988
6ff070f6-8cba-4e88-88a7-d745a3aa8469,18,Daily,31,Basic,2,0.58,1,0.0625
ace0776b-9084-4893-a4b9-430b4b886d6f,681,Weekly,41,Basic,0,0.99,0,0.0
499deb55-e72e-4b42-b47a-48b14652afad,293,Daily,93,Pro,3,0.18,0,0.031914893617021274
3a1c5975-140a-4a43-8b39-9c299b676448,295,Rarely,9,Enterprise,0,0.56,0,0.0
e4abe2cc-8b2c-4fa2-bbb8-b002328db4bc,133,Daily,18,Basic,2,0.49,0,0.10526315789473684
4170c9d8-86f3-4522-95b0-2e5aac756ae9,570,Weekly,19,Pro,0,0.79,0,0.0
695477b1-bbc1-427c-adc2-0409e679ffaf,35,Daily,109,Enterprise,2,0.11,1,0.01818181818181818
41c3619a-656f-4349-9db4-04a990eaa15e,567,Daily,51,Enterprise,0,0.17,0,0.0
b1638be1-7b8f-42ec-b77c-e67cc6879d3a,779,Daily,46,Enterprise,0,0.88,0,0.0
59484897-fdc8-44c0-a6ee-020ffb371306,875,Daily,53,Pro,3,0.88,0,0.05555555555555555
eb821cfa-c928-44af-a245-dc66dbc631c0,32,Weekly,14,Basic,2,0.39,1,0.13333333333333333
de79f740-7741-462a-bc2e-6a5e8d934240,901,Rarely,5,Basic,1,0.4,1,0.16666666666666666
fcaa9f4b-219c-4066-beda-e970e4b1940f,805,Rarely,13,Basic,3,0.54,0,0.21428571428571427
7816ac5e-ad90-413d-a950-30bad6aa3d83,970,Daily,27,Basic,0,0.19,0,0.0
b6eda50f-ea49-4699-805e-aaf515486bc6,118,Weekly,38,Basic,0,0.34,1,0.0
b970238f-6b25-4449-af1a-5235e72b78ba,518,Weekly,6,Basic,0,0.41,1,0.0
9c3c1a30-2cf7-4bb9-af0c-4e6794061e66,247,Weekly,14,Basic,3,0.35,1,0.2
dee47df6-1577-4d50-a41a-1bfe34db8879,511,Weekly,59,Pro,1,0.44,0,0.016666666666666666
2c40c415-99a7-4d99-82f9-2e18c421831a,286,Daily,62,Enterprise,1,0.78,0,0.015873015873015872
f2cacbbe-6891-48b1-acbd-2174bed8696f,927,Daily,17,Basic,4,0.28,1,0.2222222222222222
