customer_id,Account_Age_Days,Daily_Usage_Mins,Support_Tickets_90Days,API_Utilization_Rate,churn_proba,sentiment_score,fused_proba,Login_Frequency,Plan_Tier,Dominant_SHAP_Driver,risk_band,discount_pct,discount_months,Retained
CUST-000001,409,14,1,0.154,0.915,0.503,0.841,Rarely,Enterprise,technical_friction,High,5,12,0
CUST-000002,360,42,2,0.526,0.375,0.507,0.359,Weekly,Pro,technical_friction,Medium,15,3,1
CUST-000003,74,22,3,0.109,0.876,0.587,0.838,Weekly,Basic,technical_friction,High,10,6,0
CUST-000004,339,33,2,0.735,0.325,0.46,0.296,Weekly,Enterprise,technical_friction,Low,0,0,1
CUST-000005,158,19,5,0.583,1.0,0.9,0.936,Rarely,Enterprise,technical_friction,High,10,12,1
CUST-000006,49,34,3,0.481,0.75,0.738,0.798,Weekly,Pro,price_sensitive,High,5,6,1
CUST-000007,61,35,3,0.817,0.451,0.55,0.452,Weekly,Pro,technical_friction,Medium,0,0,1
CUST-000008,181,80,1,0.116,0.367,0.311,0.281,Daily,Enterprise,price_sensitive,Low,10,3,1
CUST-000009,68,43,4,0.382,0.832,0.601,0.815,Weekly,Basic,price_sensitive,High,15,12,0
CUST-000010,258,52,4,0.621,0.419,0.415,0.366,Weekly,Pro,price_sensitive,Medium,15,3,1
CUST-000011,1025,34,0,0.343,0.178,0.314,0.151,Weekly,Pro,technical_friction,Low,20,6,0
CUST-000012,172,43,0,0.426,0.278,0.313,0.213,Weekly,Basic,technical_friction,Low,20,6,1
CUST-000013,1019,22,1,0.723,0.174,0.251,0.137,Daily,Pro,technical_friction,Low,0,0,1
CUST-000014,985,64,7,0.485,0.579,0.956,0.735,Daily,Basic,technical_friction,High,0,0,0
CUST-000015,1019,41,2,0.704,0.174,0.42,0.173,Daily,Pro,price_sensitive,Low,10,3,0
CUST-000016,1021,73,2,0.288,0.098,0.333,0.117,Daily,Pro,technical_friction,Low,0,0,1
CUST-000017,608,60,2,0.719,0.166,0.44,0.173,Daily,Pro,price_sensitive,Low,15,12,0
CUST-000018,591,51,3,0.244,0.617,0.413,0.568,Weekly,Basic,price_sensitive,Medium,15,3,1
CUST-000019,239,32,4,0.343,0.758,0.741,0.804,Weekly,Enterprise,price_sensitive,High,15,6,1
CUST-000020,119,57,2,0.463,0.391,0.63,0.424,Daily,Basic,price_sensitive,Medium,10,6,1
