customer_id,Account_Age_Days,Daily_Usage_Mins,Support_Tickets_90Days,API_Utilization_Rate,churn_proba,sentiment_score,fused_proba,MRR,Days_To_Renewal,Login_Frequency,Plan_Tier,Dominant_SHAP_Driver,risk_band,discount_pct,Retained
SYN-00000,852,42,2,0.4377,0.08,1.0,0.402,641.89,38,Weekly,Basic,price_sensitive,Medium,10,1
SYN-00001,483,112,4,0.3456,0.49,1.0,0.6685,9131.77,276,Rarely,Enterprise,price_sensitive,High,20,1
SYN-00002,945,32,3,0.347,0.43,0.0,0.2795,785.18,10,Weekly,Basic,technical_friction,Medium,0,0
SYN-00003,767,47,7,0.2173,0.48,1.0,0.662,780.01,11,Weekly,Basic,technical_friction,High,20,0
SYN-00004,105,5,6,0.4646,0.745,1.0,0.8342,1991.08,263,Weekly,Pro,price_sensitive,High,20,1
SYN-00005,1073,71,4,0.1817,0.255,1.0,0.5157,5075.56,54,Daily,Enterprise,technical_friction,High,10,0
SYN-00006,837,27,4,0.2896,0.665,0.0,0.4322,468.76,166,Weekly,Basic,technical_friction,Medium,5,0
SYN-00007,865,8,3,0.7743,0.44,0.0,0.286,745.26,145,Weekly,Basic,technical_friction,Medium,0,0
SYN-00008,142,69,4,0.5241,0.02,0.0,0.013,3572.71,307,Daily,Enterprise,price_sensitive,Low,20,1
SYN-00009,496,28,5,0.9127,0.12,1.0,0.428,262.3,17,Daily,Basic,technical_friction,Medium,5,1
SYN-00010,409,61,5,0.3054,0.19,0.5,0.2985,8559.87,243,Daily,Enterprise,price_sensitive,Medium,15,1
SYN-00011,1020,119,4,0.1987,0.28,0.0,0.182,530.8,147,Daily,Basic,technical_friction,Low,20,0
SYN-00012,709,6,2,0.6938,0.66,0.0,0.429,5999.35,331,Rarely,Enterprise,price_sensitive,Medium,20,1
SYN-00013,905,15,4,0.4773,0.19,0.0,0.1235,376.75,94,Daily,Basic,technical_friction,Low,0,1
SYN-00014,488,53,1,0.6109,0.045,1.0,0.3792,347.14,233,Weekly,Basic,technical_friction,Medium,15,1
SYN-00015,251,29,1,0.2308,0.195,1.0,0.4768,1552.94,61,Daily,Pro,technical_friction,High,15,1
SYN-00016,610,1,1,0.1647,0.79,0.0,0.5135,358.46,174,Weekly,Basic,technical_friction,High,5,0
